Range,Host,Open Ports,Avg Latency (ms)
10.10.1.0/24,10.10.1.1,22;8443,50.17
10.10.1.0/24,10.10.1.100,,52.46
10.10.1.0/24,10.10.1.104,8080,53.43
10.10.1.0/24,10.10.1.109,80;443,46.86
10.10.1.0/24,10.10.1.111,80;443;8080,46.77
10.10.1.0/24,10.10.1.130,3389,47.19
10.10.1.0/24,10.10.1.131,3389,46.76
10.10.1.0/24,10.10.1.132,3389,48.34
10.10.1.0/24,10.10.1.133,3389,49.43
10.10.1.0/24,10.10.1.140,3389,46.21
10.10.1.0/24,10.10.1.141,3389,47.42
10.10.1.0/24,10.10.1.142,3389,45.96
10.10.1.0/24,10.10.1.143,3389,47.13
10.10.1.0/24,10.10.1.155,3389,47.69
10.10.1.0/24,10.10.1.156,3389,47.91
10.10.1.0/24,10.10.1.157,3389,49.93
10.10.1.0/24,10.10.1.158,3389,48.52
10.10.1.0/24,10.10.1.199,3389,47.49
10.10.1.0/24,10.10.1.200,3389,51.08
10.10.1.0/24,10.10.1.201,3389,45.48
10.10.1.0/24,10.10.1.202,3389,50.08
10.10.1.0/24,10.10.1.215,80;443;8080,46.49
10.10.1.0/24,10.10.1.250,22;80;443,47.50
10.10.1.0/24,10.10.1.27,3389,46.87
10.10.1.0/24,10.10.1.28,3389,47.33
10.10.1.0/24,10.10.1.29,3389,47.93
10.10.1.0/24,10.10.1.80,80;443;8080,49.07
10.10.1.0/24,10.10.1.92,80;443;8080,45.76
